ID caso,Año de los casos,Rango de edad de la victima,Departamento,Mes,Casos atendidos segun su mes,Casos atendidos segun el rango de edad,Casos atendidos segun el año,Casos mas repotados segun el tipo de violencia,Acciones preventivas por año,Casos mas atendidos segun autodentificadores étnicos,Centros mas utilizados
1,2021,0-5,Lima,enero,705,272,32317,psicologica,759,mestizo,regular
1,2021,0-5,Lima,febrero,262,492,32317,psicologica,565,mestizo,regular
1,2021,0-5,Lima,marzo,422,330,32317,psicologica,298,mestizo,regular
1,2021,0-5,Lima,abril,308,429,32317,psicologica,525,mestizo,regular
1,2021,0-5,Lima,mayo,743,90,32317,psicologica,340,mestizo,regular
1,2021,0-5,Lima,junio,425,571,32317,psicologica,552,mestizo,regular
1,2021,0-5,Lima,julio,763,287,32317,psicologica,210,mestizo,regular
1,2021,0-5,Lima,agosto,206,265,32317,psicologica,444,mestizo,regular
1,2021,0-5,Lima,septiembre,541,696,32317,psicologica,109,mestizo,regular
1,2021,0-5,Lima,octubre,176,229,32317,psicologica,526,mestizo,comisaria
1,2021,0-5,Lima,noviembre,214,270,32317,psicologica,648,mestizo,regular
1,2021,0-5,Lima,diciembre,365,670,32317,psicologica,587,mestizo,regular
1,2021,6-11,Lima,enero,69,387,32317,psicologica,398,mestizo,regular
1,2021,6-11,Lima,febrero,205,216,32317,psicologica,363,mestizo,regular
1,2021,6-11,Lima,marzo,508,598,32317,psicologica,604,mestizo,comisaria
1,2021,6-11,Lima,abril,464,386,32317,psicologica,304,mestizo,regular
1,2021,6-11,Lima,mayo,237,248,32317,psicologica,603,mestizo,regular
1,2021,6-11,Lima,junio,222,274,32317,psicologica,136,mestizo,regular
1,2021,6-11,Lima,julio,738,216,32317,psicologica,348,mestizo,regular
1,2021,6-11,Lima,agosto,563,562,32317,fisica,611,mestizo,regular
1,2021,6-11,Lima,septiembre,222,222,32317,psicologica,173,mestizo,comisaria
1,2021,6-11,Lima,octubre,561,494,32317,psicologica,136,mestizo,regular
1,2021,6-11,Lima,noviembre,68,314,32317,psicologica,174,mestizo,regular
1,2021,6-11,Lima,diciembre,655,521,32317,psicologica,537,mestizo,regular
1,2021,12-17,Lima,enero,580,616,32317,psicologica,118,mestizo,regular
1,2021,12-17,Lima,febrero,237,243,32317,psicologica,194,mestizo,regular
1,2021,12-17,Lima,marzo,317,397,32317,psicologica,618,mestizo,comisaria
1,2021,12-17,Lima,abril,94,150,32317,psicologica,319,mestizo,regular
1,2021,12-17,Lima,mayo,545,659,32317,psicologica,227,mestizo,comisaria
1,2021,12-17,Lima,junio,97,584,32317,psicologica,457,mestizo,regular
1,2021,12-17,Lima,julio,59,248,32317,psicologica,560,mestizo,regular
1,2021,12-17,Lima,agosto,155,315,32317,psicologica,535,mestizo,regular
1,2021,12-17,Lima,septiembre,603,512,32317,fisica,633,mestizo,regular
1,2021,12-17,Lima,octubre,136,215,32317,psicologica,143,mestizo,regular
1,2021,12-17,Lima,noviembre,586,582,32317,psicologica,171,mestizo,regular
1,2021,12-17,Lima,diciembre,84,357,32317,psicologica,169,mestizo,regular
1,2021,18-29,Lima,enero,460,125,32317,psicologica,581,mestizo,comisaria
1,2021,18-29,Lima,febrero,164,306,32317,psicologica,557,mestizo,regular
1,2021,18-29,Lima,marzo,334,442,32317,sexual,471,mestizo,regular
1,2021,18-29,Lima,abril,611,232,32317,psicologica,554,mestizo,comisaria
1,2021,18-29,Lima,mayo,538,695,32317,psicologica,215,mestizo,regular
1,2021,18-29,Lima,junio,610,593,32317,psicologica,538,mestizo,regular
