ID caso,Año de los casos,Rango de edad de la víctima,Departamento,Mes,Tipo de violencia,Acciones preventivas,Autoidentificadores étnicos,Centro utilizado,Denuncia realizada,Estado de la denuncia
1,2022,12-17,Huancavelica,Febrero,Violencia familiar,Talleres de prevención,Mestizo,CEM,No,-
2,2020,12-17,Ancash,Octubre,Violencia de género,Talleres de prevención,Mestizo,Línea 100,No,-
3,2022,25-34,Ica,Abril,Violencia doméstica,Programas de educación indígena,Afrodescendiente,Comisaria,No,-
4,2020,18-24,La Libertad,Julio,Violencia de género,Talleres de prevención,Blanco,Centro de Salud,Sí,Pendiente
5,2019,25-34,Piura,Enero,Violencia de pareja,Programas de educación indígena,Mestizo,Centro de Salud,No,-
6,2021,18-24,Amazonas,Noviembre,Violencia de género,Asesoramiento legal,Blanco,Línea 100,Sí,Pendiente
7,2021,25-34,Ica,Mayo,Violencia doméstica,Atención psicológica,Mestizo,Centro de Salud,Sí,Pendiente
8,2021,45-54,Callao,Julio,Violencia familiar,Campañas de sensibilización,Blanco,Línea 100,No,-
9,2022,0-5,Apurimac,Marzo,Violencia familiar,Atención psicológica,Blanco,Centro de Salud,No,-
10,2023,18-24,Huancavelica,Octubre,Violencia de género,Programas de educación indígena,Mestizo,Comisaria,Sí,En investigación
11,2018,25-34,Apurimac,Agosto,Violencia familiar,Programas de educación indígena,Indígena amazónico,CEM,Sí,Pendiente
12,2023,12-17,Madre de Dios,Enero,Violencia de pareja,Atención psicológica,Blanco,CEM,No,-
13,2018,35-44,Moquegua,Diciembre,Agresión sexual,Campañas de sensibilización,Indígena amazónico,Centro de Salud,No,-
14,2022,6-11,Lambayeque,Diciembre,Agresión sexual,Campañas de sensibilización,Mestizo,CEM,No,-
15,2019,35-44,La Libertad,Octubre,Violencia familiar,Programas de educación indígena,Blanco,Comisaria,Sí,Pendiente
16,2020,12-17,Lambayeque,Septiembre,Violencia doméstica,Campañas de sensibilización,Quechua,Comisaria,No,-
17,2022,45-54,Piura,Agosto,Violencia de pareja,Atención psicológica,Blanco,CEM,Sí,Pendiente
18,2023,0-5,Amazonas,Marzo,Violencia de pareja,Talleres de prevención,Indígena amazónico,CEM,No,-
19,2018,12-17,Puno,Noviembre,Agresión sexual,Programas de educación indígena,Blanco,CEM,Sí,Pendiente
20,2021,18-24,Loreto,Octubre,Violencia familiar,Programas de educación indígena,Mestizo,Comisaria,Sí,Cerrada
21,2021,6-11,Huancavelica,Abril,Violencia de género,Talleres de prevención,Quechua,CEM,Sí,Cerrada
22,2018,35-44,Tumbes,Marzo,Agresión sexual,Atención psicológica,Blanco,Línea 100,Sí,Pendiente
23,2021,6-11,Huancavelica,Marzo,Violencia de género,Atención psicológica,Blanco,CEM,No,-
24,2018,0-5,Arequipa,Marzo,Violencia doméstica,Programas de educación indígena,Blanco,CEM,Sí,En proceso
25,2023,12-17,Lima,Febrero,Violencia familiar,Atención psicológica,Quechua,CEM,Sí,En investigación
26,2019,45-54,San Martín,Agosto,Violencia de pareja,Programas de educación indígena,Blanco,Centro de Salud,No,-
27,2023,35-44,Loreto,Octubre,Violencia de género,Campañas de sensibilización,Blanco,Línea 100,Sí,En investigación
28,2023,45-54,Cusco,Abril,Violencia doméstica,Programas de educación indígena,Quechua,Centro de Salud,Sí,En investigación
29,2019,0-5,Moquegua,Noviembre,Agresión sexual,Asesoramiento legal,Indígena amazónico,Comisaria,No,-
30,2022,0-5,Loreto,Septiembre,Violencia familiar,Campañas de sensibilización,Blanco,CEM,Sí,En investigación
31,2022,0-5,Tumbes,Abril,Violencia de género,Asesoramiento legal,Blanco,Centro de Salud,No,-
32,2020,25-34,Apurimac,Febrero,Violencia familiar,Campañas de sensibilización,Indígena amazónico,Línea 100,Sí,Cerrada
33,2023,18-24,Madre de Dios,Diciembre,Violencia de género,Campañas de sensibilización,Indígena amazónico,CEM,Sí,En investigación
34,2020,45-54,Tumbes,Noviembre,Violencia de pareja,Atención psicológica,Afrodescendiente,CEM,No,-
35,2023,6-11,Arequipa,Agosto,Violencia de género,Asesoramiento legal,Mestizo,Comisaria,No,-
36,2021,0-5,Moquegua,Abril,Violencia de género,Campañas de sensibilización,Blanco,CEM,Sí,Cerrada
37,2020,6-11,Cusco,Marzo,Violencia doméstica,Asesoramiento legal,Indígena amazónico,CEM,Sí,Pendiente
38,2021,18-24,Cajamarca,Julio,Agresión sexual,Atención psicológica,Quechua,Comisaria,No,-
39,2023,12-17,Ancash,Agosto,Agresión sexual,Programas de educación indígena,Blanco,Comisaria,No,-
40,2021,25-34,Lima,Febrero,Agresión sexual,Programas de educación indígena,Mestizo,CEM,Sí,Cerrada
41,2018,6-11,Ancash,Octubre,Violencia de pareja,Campañas de sensibilización,Quechua,Línea 100,Sí,En investigación
42,2019,35-44,Junín,Junio,Violencia de pareja,Campañas de sensibilización,Quechua,Comisaria,No,-
43,2023,25-34,Arequipa,Diciembre,Violencia de género,Asesoramiento legal,Blanco,CEM,No,-
44,2020,6-11,Amazonas,Agosto,Violencia de pareja,Atención psicológica,Afrodescendiente,Centro de Salud,No,-
45,2022,6-11,Huanuco,Mayo,Violencia de pareja,Programas de educación indígena,Blanco,Centro de Salud,Sí,En investigación
46,2023,45-54,Lima,Julio,Violencia de pareja,Campañas de sensibilización,Indígena amazónico,Centro de Salud,Sí,En proceso
47,2018,25-34,Callao,Junio,Violencia familiar,Campañas de sensibilización,Mestizo,Línea 100,No,-
